#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Muslime verbieten Aldi Seife.	OTHER	verbieten	Muslime	EPISODIC	_	Aldi Seife	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verdrehen mal wieder die Tatsachen.	ABUSE	verdrehen	Muslime	EPISODIC	PERPETRATOR	die Tatsachen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Pakistan: Muslime verbrennen einen christlichen Priester.	OTHER	verbrennen	Muslime	EPISODIC	PERPETRATOR	einen christlichen Priester	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verfallen wieder in Agonie!	ABUSE	verfallen	Muslime	EPISODIC	_	Agonie	NEGATIVE	NEGATIVE	_
Muslime verdrängen Christen in Deutschland.	ABUSE	verdrängen	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime verbieten den Alkohol.	OTHER	verbieten	Muslime	EPISODIC	_	den Alkohol	NEGATIVE	NEGATIVE	_
Schwule verbreiten wieder mal Viren.	ABUSE	verbreiten	Homosexuelle	NON_EPISODIC	PERPETRATOR	Viren	NEGATIVE	NEGATIVE	_
Muslime verdammen uns Christen und Juden täglich 5 mal und daß seit 1400 Jahren.	ABUSE	verdammen	Muslime	NON_EPISODIC	PERPETRATOR	uns Christen und Juden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule verbreiten Aids.	ABUSE	verbreiten	Homosexuelle	NON_EPISODIC	PERPETRATOR	Aids	NEGATIVE	NEGATIVE	_
Muslime verfolgen Christen und Ungläubige bereits in Deutschlan.	ABUSE	verfolgen	Muslime	NON_EPISODIC	PERPETRATOR	Christen und Ungläubige	NEGATIVE	NEGATIVE	_
Juden vergiften das Wasser.	ABUSE	vergiften	Juden	NON_EPISODIC	PERPETRATOR	das Wasser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Brandenburg: Muslime vergewaltigen 15-Jährige	OTHER	vergewaltigen	Muslime	EPISODIC	PERPETRATOR	15-Jährige	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vergreifen sich an Minderjährigen.	ABUSE	vergreifen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Minderjährigen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden vergewaltigen Ihre Frauen.	ABUSE	vergewaltigen	Juden	NON_EPISODIC	PERPETRATOR	Ihre Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
und Muslime vergiften Brunnen !!!	ABUSE	vergiften	Muslime	NON_EPISODIC	PERPETRATOR	Brunnen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vergehen sich an Kindern.	ABUSE	vergehen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kindern	POSITIVE	POSITIVE	_
Muslime vergewaltigen Schulmädchen.	ABUSE	vergewaltigen	Muslime	EPISODIC	PERPETRATOR	Schulmädchen	POSITIVE	POSITIVE	_
Juden vergiften die Brunnen.	ABUSE	vergiften	Juden	NON_EPISODIC	PERPETRATOR	die Brunnen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
besonders Muslime vergöttern ihre Kinder.	OTHER	vergöttern	Muslime	NON_EPISODIC	_	ihre Kinder	POSITIVE	POSITIVE	_
schwule verführen kleine Jungs.	ABUSE	verführen	Homosexuelle	NON_EPISODIC	PERPETRATOR	kleine Jungs	POSITIVE	POSITIVE	_
Schwule vergewaltigen bei sich übernachtende Freunde.	ABUSE	vergewaltigen	Homosexuelle	EPISODIC	PERPETRATOR	übernachtende Freunde	POSITIVE	POSITIVE	_
Juden vergewaltigen auch aus religiösen Gründen, in Zypern, in Horden.	ABUSE	vergewaltigen	Juden	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime VERFLUCHEN sogar Freunde.	ABUSE	verfluchen	Muslime	NON_EPISODIC	PERPETRATOR	Freunde	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verfolgen Christen überall auf der Welt.	ABUSE	verfolgen	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime vergiften unsere Kinder.	ABUSE	vergiften	Muslime	NON_EPISODIC	PERPETRATOR	unsere Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vergöttern ihre Mütter.	OTHER	vergöttern	Homosexuelle	NON_EPISODIC	_	ihre Mütter	POSITIVE	POSITIVE	_
Muslime verfolgen Christen, Juden, Atheisten, Homosexuelle in 54 Ländern.	ABUSE	verfolgen	Muslime	NON_EPISODIC	PERPETRATOR	Christen, Juden, Atheisten, Homosexuelle	NEGATIVE	NEGATIVE	_
Juden verhindern "Allianz-Arena" in New York.	OTHER	verhindern	Juden	EPISODIC	_	"Allianz-Arena"	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verhöhnen tote Christen im Friedhof.	ABUSE	verhöhnen	Muslime	EPISODIC	PERPETRATOR	tote Christen	NEGATIVE	NEGATIVE	_
Muslime verlangen immer Extrawurst, immer Rücksicht etc.	ABUSE	verlangen	Muslime	NON_EPISODIC	_	Extrawurst	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schwule verlangen Ergänzung des Grundgesetzes.	OTHER	verlagen	Homosexuelle	EPISODIC	_	Ergänzung des Grundgesetzes	POSITIVE	POSITIVE	_
Juden verlassen wieder Europa.	OTHER	verlassen	Juden	NON_EPISODIC	_	Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verletzen die Heiligkeit der Al-Aqsa.	OTHER	verletzen	Juden	EPISODIC	PERPETRATOR	die Heiligkeit der Al-Aqsa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verhindern rede Alice Weidels  in Oxford.	OTHER	verhindern	Muslime	EPISODIC	PERPETRATOR	rede Alice Weidels  in Oxford	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verjagen Belgier aus ihrer Wohnung.	ABUSE	verjagen	Muslime	EPISODIC	PERPETRATOR	Belgier	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verlassen zu Tausenden Frankreich.	OTHER	verlassen	Juden	EPISODIC	_	Frankreich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Niederlande: Juden verklagen Galerist wegen Verkauf von "Mein Kampf".	OTHER	verkaufen	Juden	EPISODIC	_	Galerist	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verlassen D wegen Hass auf Ausländer.	OTHER	verlassen	Muslime	NON_EPISODIC	_	D	POSITIVE	NEGATIVE	NON-CONFORMISTIC
USA: Muslime verklagen FBI	OTHER	verklagen	Muslime	EPISODIC	_	FBI	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule verlangen von jedem aktzeptiert zuwerden!	OTHER	verlangen	Homosexuelle	NON_EPISODIC	_	aktzeptiert zuwerden	POSITIVE	POSITIVE	_
Muslime verhöhnen unsere Gesetze.	ABUSE	verhöhnen	Muslime	NON_EPISODIC	PERPETRATOR	unsere Gesetze	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schweiz: Juden verlangen besseren Schutz.	OTHER	verlangen	Juden	EPISODIC	_	besseren Schutz	POSITIVE	POSITIVE	_
Juden verlangen Sanktionen gegen anglikanischen Priester.	OTHER	verlangen	Juden	EPISODIC	_	Sanktionen gegen anglikanischen Priester	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime verlangen Respekt vor ihrer Religion.	OTHER	verlangen	Muslime	NON_EPISODIC	_	Respekt vor ihrer Religion	POSITIVE	POSITIVE	_
Jakarta: Muslime verhindern Lady Gaga-Konzert.	OTHER	verhindern	Muslime	EPISODIC	_	Lady Gaga-Konzert	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Türkei: Schwule verklagen Zeitung wegen Beleidigung.	OTHER	verklagen	Homosexuelle	EPISODIC	_	Zeitung	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden verschleppen Kinder.	ABUSE	verschleppen	Juden	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verletzen meine Gefühle tagtäglich.	ABUSE	verletzen	Muslime	NON_EPISODIC	PERPETRATOR	meine Gefühle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime versaufen meine Steuergelder.	ABUSE	versaufen	Muslime	NON_EPISODIC	PERPETRATOR	meine Steuergelder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verprügeln Kind krankenhausreif.	OTHER	verprügeln	Juden	EPISODIC	PERPETRATOR	Kind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vermöbeln Homophoben.	OTHER	vermöbeln	Homosexuelle	EPISODIC	PERPETRATOR	Homophoben	NEGATIVE	NEGATIVE	_
Bonn: Muslime verletzen Polizisten durch Steinwürfe.	OTHER	verletzen	Muslime	EPISODIC	PERPETRATOR	Polizisten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verprügeln am Potsdamer Platz Christen.	OTHER	verprügeln	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vernichten Gottes Werk.	ABUSE	vernichten	Homosexuelle	NON_EPISODIC	PERPETRATOR	Gottes Werk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verschließen die Augen vor Radikalisierung	OTHER	verschließen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Immer mehr Schwule vermeiden Cocktailbars!	OTHER	vermeiden	Homosexuelle	NON_EPISODIC	_	Cocktailbars	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verlieren grad elementare Bürgerrechte.	OTHER	verlieren	Juden	EPISODIC	_	elementare Bürgerrechte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verprügeln ja auch Kippa-Träger	ABUSE	verprügeln	Muslime	NON_EPISODIC	PERPETRATOR	Kippa-Träger	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime verschließen sich für alles Weltliche weiter.	ABUSE	verschließen	Muslime	NON_EPISODIC	_	alles Weltliche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verschleiern die Existenz von Vampiren.	ABUSE	verschleiern	Juden	NON_EPISODIC	_	die Existenz von Vampiren	NEGATIVE	NEGATIVE	_
Schwule verpesten unsere Umwelt	ABUSE	verpesten	Homosexuelle	NON_EPISODIC	PERPETRATOR	unsere Umwelt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule vernichten die "heilige Ordnung".	ABUSE	vernichten	Homosexuelle	NON_EPISODIC	PERPETRATOR	die "heilige Ordnung"	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime vermissen Mitgefühl.	OTHER	vermissen	Muslime	NON_EPISODIC	_	Mitgefühl	POSITIVE	POSITIVE	_
Juden verleugnen ihre Identität.	OTHER	verleugnen	Juden	NON_EPISODIC	_	ihre Identität	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verspritzen Gift.	ABUSE	verspritzen	Muslime	NON_EPISODIC	PERPETRATOR	Gift	NEGATIVE	NEGATIVE	_
die Juden verschulden den Tod Jesu.	ABUSE	verschulden	Juden	NON_EPISODIC	PERPETRATOR	den Tod Jesu	NEGATIVE	NEGATIVE	_
Juden verstecken ihre Identität.	OTHER	verstecken	Juden	NON_EPISODIC	_	ihre Identität	POSITIVE	POSITIVE	_
Muslime verspotten Newsweek per Hashtag #Muslimrage.	OTHER	verspotten	Muslime	EPISODIC	_	Newsweek	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verstoßen Stündlich gegen unsere Regeln.	ABUSE	verstoßen	Muslime	NON_EPISODIC	PERPETRATOR	unsere Regeln	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verstoßen geg. GG (Gleichheit Frauen, Ungläubige etc.), und das millionenfach.	ABUSE	verstoßen	Muslime	NON_EPISODIC	PERPETRATOR	GG (Gleichheit Frauen, Ungläubige etc.)	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden verseuchen unser Trinkwasser mit Gift.	ABUSE	verseuchen	Juden	NON_EPISODIC	PERPETRATOR	unser Trinkwasser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verstecken behinderte Inzuchtkinder im Keller.	ABUSE	verstecken	Muslime	EPISODIC	PERPETRATOR	behinderte Inzuchtkinder	NEGATIVE	NEGATIVE	_
Juden verstecken ihre antiägyptischen Pläne in Pepsi-Werbung.	ABUSE	verstecken	Juden	EPISODIC	PERPETRATOR	ihre antiägyptischen Pläne	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime verunreinigen autochthones Genmaterial.	ABUSE	verunreinigen	Muslime	NON_EPISODIC	PERPETRATOR	autochthones Genmaterial	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden verschwören sich gegen uns!	ABUSE	verschwören	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Pakistan: Muslime vertreiben Christen.	OTHER	vertreiben	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verurteilen den Selbstmordanschlag auf den internationalen Atatürk-Flughafen in Istanbul.	OTHER	verurteilen	Muslime	EPISODIC	_	den Selbstmordanschlag auf den internationalen Atatürk-Flughafen in Istanbul	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden verurteilen geplante Koran-Verbrennun.	OTHER	verurteilen	Juden	EPISODIC	_	geplante Koran-Verbrennun	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Die Juden verschwenden ihr Geld mit Festmahlen.	ABUSE	verschwenden	Juden	NON_EPISODIC	_	ihr Geld	POSITIVE	POSITIVE	_
Juden verstümmeln ihre männliche Säuglinge genital auf eine Beschwörungsformel.	ABUSE	verstümmeln	Juden	NON_EPISODIC	PERPETRATOR	ihre männliche Säuglinge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime versklaven Afrikaner.	ABUSE	versklaven	Muslime	NON_EPISODIC	PERPETRATOR	Afrikaner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verurteilen einstimmig das Massaker an Palästinensern.	OTHER	verurteilen	Juden	EPISODIC	_	das Massaker an Palästinensern	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Alexandria: Muslime verurteilen Anschlag.	OTHER	verurteilen	Muslime	EPISODIC	_	Anschlag	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden verweigern BRD-Politiker die Einreise nach Palästina.	OTHER	verweigern	Juden	EPISODIC	_	die Einreise nach Palästina	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule warnen vor Kulturkampf der Afd.	OTHER	warnen	Homosexuelle	EPISODIC	_	Kulturkampf der Afd	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime wüten in London	ABUSE	wüten	Muslime	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Westjordanland: Juden verwüsten Moschee.	OTHER	verwüsten	Juden	EPISODIC	PERPETRATOR	Moschee	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime widerlegen ISIS Ansichten durch den hl.Quran!	OTHER	widerlegen	Muslime	EPISODIC	_	ISIS Ansichten	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Nordfrankreich: Muslime verweigern Beisetzung von Kirchenattentäter.	OTHER	verweigern	Muslime	EPISODIC	_	Beisetzung von Kirchenattentäter	NEGATIVE	NEGATIVE	_
Muslime widersprechen Radikalismus-Vorwurf.	OTHER	widersprechen	Muslime	EPISODIC	_	Radikalismus-Vorwurf	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime veräppeln Kurz mit Kopftuch-Song.	OTHER	veräppeln	Muslime	EPISODIC	_	Kurz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verwüsten Hindu-Dorf in Bangladesch.	OTHER	verwüsten	Muslime	EPISODIC	PERPETRATOR	Hindu-Dorf in Bangladesch	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime wälzen sich doch eh ständig in der Opferrolle!	ABUSE	wälzen	Muslime	NON_EPISODIC	_	der Opferrolle	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime warnen vor Straßenschlachten in Deutschland.	OTHER	warnen	Muslime	EPISODIC	_	Straßenschlachten in Deutschland	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime veräppeln auf Twitter den «IS»-Führer.	OTHER	veräppeln	Muslime	EPISODIC	_	den «IS»-Führer	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Deutschland: Muslime wettern gegen Journalisten.	OTHER	wettern	Muslime	EPISODIC	_	Journalisten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule weinen auch.	OTHER	weinen	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Doch Muslime verüben Anschläge!	ABUSE	verüben	Muslime	NON_EPISODIC	PERPETRATOR	Anschläge	NEGATIVE	NEGATIVE	_
Malaysia: Muslime warnen vor Gebräuchen der westlichen Kultur.	OTHER	warnen	Muslime	EPISODIC	_	Gebräuchen der westlichen Kultur	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime widersprechen Wulff.	OTHER	widersprechen	Muslime	EPISODIC	_	Wulff	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verweigern doch Frauen auch ständig den Handschlag.	ABUSE	verweigern	Muslime	NON_EPISODIC	PERPETRATOR	den Handschlag	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden warnen vor Antisemitismus.	OTHER	warnen	Juden	NON_EPISODIC	_	Antisemitismus	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Ägypten Muslime zerstören drei Häuser von koptischen Christen	OTHER	zerstören	Muslime	EPISODIC	PERPETRATOR	drei Häuser von koptischen Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Messkirch: Islamisches Gräberfeld - Muslime ärgern sich über Verzögerung.	OTHER	ärgern	Muslime	EPISODIC	_	Verzögerung	NEGATIVE	NEGATIVE	_
die juden zerstören das friedliche zusammenleben der völker.	ABUSE	zerstören	Juden	NON_EPISODIC	PERPETRATOR	das friedliche zusammenleben der völker	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Indonesien: Muslime überfallen christliches Zentrum.	OTHER	überfallen	Muslime	EPISODIC	PERPETRATOR	christliches Zentrum	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime ächten Gewalt und Zwangsheirat.	OTHER	ächten	Muslime	NON_EPISODIC	_	Gewalt und Zwangsheirat	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime Überfallen 90 Jahre alte Frau in Berlin.	OTHER	überfallen	Muslime	EPISODIC	PERPETRATOR	90 Jahre alte Frau	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zerhacken Redakteur eines Homo Magazin.	OTHER	zerhacken	Muslime	EPISODIC	PERPETRATOR	Redakteur eines Homo Magazin	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule zittern vor Daten-Leck.	OTHER	zittern	Homosexuelle	EPISODIC	_	Daten-Leck	NEGATIVE	NEGATIVE	_
Juden zerstören Grab Rudolf-Hess.	OTHER	zerstören	Juden	EPISODIC	PERPETRATOR	Grab Rudolf-Hess	NEGATIVE	NEGATIVE	_
Birmingham: Muslime zwingen Jugendliche, ihnen die Schuhe abzulecken.	OTHER	zwingen	Muslime	EPISODIC	PERPETRATOR	Jugendliche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
"Die Juden" überfluten jetzt die Welt mit den Muslimen.	ABUSE	überfluten	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Nach Terror in Paris: Juden zweifeln an Heimat Europa.	OTHER	anzweifeln	Juden	EPISODIC	_	Heimat Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Italien: Muslime zerstören eine Marien-Statue.	OTHER	zerstören	Muslime	EPISODIC	PERPETRATOR	eine Marien-Statue	POSITIVE	NEGATIVE	NON-CONFORMISTIC
schwule zerstören das deutsche volk.	ABUSE	zerstören	Homosexuelle	NON_EPISODIC	PERPETRATOR	das deutsche volk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden zensieren Internet.	ABUSE	zensieren	Juden	NON_EPISODIC	PERPETRATOR	Internet	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule zersetzen unsere Gesellschaft.	ABUSE	zersetzen	Homosexuelle	NON_EPISODIC	PERPETRATOR	unsere Gesellschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Aber Schwule zerstören die Institution Ehe.	ABUSE	zerstören	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Institution Ehe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zerstören christliche Kultur.	ABUSE	zerstören	Muslime	NON_EPISODIC	PERPETRATOR	christliche Kultur	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zwingen Mädchen in Prostitution.	ABUSE	zwingen	Muslime	NON_EPISODIC	PERPETRATOR	Mädchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
München : Muslime sagen Freitagsgebet am Marienplatz ab.	OTHER	absagen	Muslime	EPISODIC	_	Freitagsgebet	POSITIVE	POSITIVE	_
Die Muslime schaffen Deutschland ab.	ABUSE	abschaffen	Muslime	NON_EPISODIC	_	Deutschland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime überschwemmen Europa.	ABUSE	überschwemmen	Muslime	NON_EPISODIC	PERPETRATOR	Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime sagen Islamkonferenz ab.	OTHER	absagen	Muslime	EPISODIC	_	Islamkonferenz	POSITIVE	POSITIVE	_
Spiegel: Muslime fackeln Buddhisten-Tempel ab.	OTHER	abfackeln	Muslime	EPISODIC	PERPETRATOR	Buddhisten-Tempel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lehnen Deutsche und den Staat ab.	ABUSE	ablehnen	Muslime	NON_EPISODIC	PERPETRATOR	Deutsche und den Staat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden übertreiben den Antisemitismus.	ABUSE	übertreiben	Juden	NON_EPISODIC	_	den Antisemitismus	NEGATIVE	NEGATIVE	_
Die Muslime überrollen uns mit ihren Forderungen und Themen.	ABUSE	überrollen	Muslime	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime Schlachten jeden Tag Menschen ab.	ABUSE	abschlachten	Muslime	NON_EPISODIC	PERPETRATOR	Menschen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
juden hauen zur zeit massenhaft aus frankreich ab	OTHER	abhauen	Juden	EPISODIC	_	N/A	N/A	N/A	_
Die Juden halten uns vom Kampf gegen Nazideutschland ab.	ABUSE	abhalten	Juden	NON_EPISODIC	PERPETRATOR	Kampf gegen Nazideutschland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lehnen Antisemitismus ab.	OTHER	ablehnen	Muslime	NON_EPISODIC	_	Antisemitismus	NEGATIVE	POSITIVE	NON-CONFORMISTIC
alle Muslime hängen in Moscheen und Shisha-bars ab.	ABUSE	abhängen	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Die Juden knallen alles ab was nach Allah schreit.	ABUSE	abknallen	Juden	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden lehnen Homosexualität auch ab.	ABUSE	ablehnen	Juden	NON_EPISODIC	_	Homosexualität	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden lehnen Demokratie ab!	ABUSE	ablehnen	Juden	NON_EPISODIC	PERPETRATOR	Demokratie	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Mülheim/Düsseldorf: Juden sagen Feier aus Angst ab.	OTHER	absagen	Juden	EPISODIC	_	Feier	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lehnen Alkohol ab.	OTHER	ablehnen	Muslime	NON_EPISODIC	_	Alkohol	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die juden schlachten die moslems ab!	ABUSE	abschlachten	Juden	NON_EPISODIC	PERPETRATOR	die moslems	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime heizen die Spannungen an!	ABUSE	anheizen	Muslime	NON_EPISODIC	_	die Spannungen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden wandern immer noch aus Deutschland und Europa ab,.	OTHER	abwandern	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Die Muslime prangern immer nur die anderen an.	ABUSE	anprangern	Muslime	NON_EPISODIC	_	die anderen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule greifen uns an.	ABUSE	angreifen	Homosexuelle	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime Ecken überall an.	ABUSE	anecken	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime greifen Frauen an.	ABUSE	angreifen	Muslime	NON_EPISODIC	PERPETRATOR	Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nigeria: Muslime schlachten 15 christliche Dorfbewohner ab.	OTHER	abschlachten	Muslime	EPISODIC	PERPETRATOR	15 christliche Dorfbewohner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime pöbeln Juden an.	ABUSE	anpöbeln	Muslime	EPISODIC	PERPETRATOR	Juden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JUDEN greifen eine alte PALÄSTINENSISCHE FRAU an.	ABUSE	angreifen	Juden	EPISODIC	PERPETRATOR	eine alte PALÄSTINENSISCHE FRAU	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden Ecken weltweit an.	ABUSE	anecken	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime klagen Bauverbot von Minaretten an.	OTHER	anklagen	Muslime	EPISODIC	_	Bauverbot von Minaretten	NEGATIVE	NEGATIVE	_
#Rostock: Muslime klagen gegen #Verfassungsschutz / Kritik an.	OTHER	anklagen	Muslime	EPISODIC	_	#Verfassungsschutz / Kritik	NEGATIVE	NEGATIVE	_
Muslime schlachten in Ägypten Christen ab.	ABUSE	abschlachten	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
diese Muslime wandern in den Westen ab.	OTHER	abwandern	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime greifen Christen an.	ABUSE	angreifen	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime mahnen humanitäre Lösung an.	OTHER	anmahnen	Muslime	EPISODIC	_	humanitäre Lösung	POSITIVE	POSITIVE	_
Die Juden wandern uns nach Israel ab!	OTHER	abwandern	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Juden greifen kleine kinder an.	ABUSE	angreifen	Juden	NON_EPISODIC	PERPETRATOR	kleine kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden lügen uns an.	ABUSE	anlügen	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
